reporting_airline,airport,n,x,y
United Airlines,TPA,13347,1720329.790563932,-1713285.848456208
United Airlines,TUL,1204,369902.00173730054,-968710.335093024
United Airlines,TUS,779,-1033490.7270596127,-1363482.3767388165
United Airlines,TYS,624,1437259.8790258272,-883549.1515317184
Southwest Airlines,ABQ,22934,-603104.745800889,-1082686.4778323667
Southwest Airlines,ALB,8966,2093896.6988834653,90839.80353075745
Southwest Airlines,AMA,3518,-155479.84081452896,-1084678.4667509194
Southwest Airlines,ATL,84237,1438837.9937618312,-1129310.979486318
Southwest Airlines,AUS,44049,225823.07315140465,-1638702.7618488022
Southwest Airlines,BDL,13045,2208123.028463688,33971.4893617478
Southwest Airlines,BHM,8509,1227516.423781454,-1173804.5684248093
Southwest Airlines,BNA,65575,1193955.4135102862,-891176.9680870201
Southwest Airlines,BOI,7740,-1296364.617988922,-29797.04410178459
Southwest Airlines,BOS,24561,2320658.4485041024,126152.13380139158
Southwest Airlines,BUF,12614,1707245.286740146,-4371.266382491431
Southwest Airlines,BUR,36263,-1679613.0736233827,-1016244.4677102008
Southwest Airlines,BWI,144412,1980887.5167152977,-365563.636502196
Southwest Airlines,CAK,905,1543868.6042368207,-278981.2055969662
Southwest Airlines,CHS,5736,1853007.6958618572,-1124845.6869020823
Southwest Airlines,CLE,12427,1498726.2792607923,-232627.15593650908
Southwest Airlines,CLT,5372,1718765.594159813,-891788.5105128315
Southwest Airlines,CMH,24450,1445821.7184349983,-405735.9494879742
Southwest Airlines,CRP,2702,248519.4938179987,-1904926.3228790544
Southwest Airlines,CVG,3278,1316490.950820449,-539409.9479712159
Southwest Airlines,DAL,126137,295794.1446696455,-1343507.98461109
Southwest Airlines,DAY,921,1337337.3311413545,-438530.28268780926
Southwest Airlines,DCA,30140,1959959.090984065,-409479.41835946374
Southwest Airlines,DEN,136828,-398957.8437938119,-559911.2634607605
Southwest Airlines,DSM,2084,527073.5637794238,-365025.8008899143
Southwest Airlines,DTW,14427,1359641.697254995,-170996.60408534826
Southwest Airlines,ECP,3510,1366547.510727577,-1511044.3472759733
Southwest Airlines,ELP,13871,-605825.3288960081,-1441254.1790057654
Southwest Airlines,EWR,12530,2135095.905011877,-139210.669492847
