airline,airport,type,block,n,airline_airport,year
UA,ORD,arr,1970-01-01T09:01:00Z,-1737,UA/ ORD,1995
UA,ORD,arr,1970-01-01T09:11:00Z,-952,UA/ ORD,1995
UA,ORD,arr,1970-01-01T09:21:00Z,-435,UA/ ORD,1995
UA,ORD,arr,1970-01-01T09:31:00Z,-444,UA/ ORD,1995
UA,ORD,arr,1970-01-01T09:41:00Z,-713,UA/ ORD,1995
UA,ORD,arr,1970-01-01T09:51:00Z,-1193,UA/ ORD,1995
UA,ORD,arr,1970-01-01T10:01:00Z,-2548,UA/ ORD,1995
UA,ORD,arr,1970-01-01T10:11:00Z,-2795,UA/ ORD,1995
UA,ORD,arr,1970-01-01T10:21:00Z,-1428,UA/ ORD,1995
UA,ORD,arr,1970-01-01T10:31:00Z,-961,UA/ ORD,1995
UA,ORD,arr,1970-01-01T10:41:00Z,-807,UA/ ORD,1995
UA,ORD,arr,1970-01-01T10:51:00Z,-671,UA/ ORD,1995
UA,ORD,arr,1970-01-01T11:01:00Z,-1281,UA/ ORD,1995
UA,ORD,arr,1970-01-01T11:11:00Z,-2256,UA/ ORD,1995
UA,ORD,arr,1970-01-01T11:21:00Z,-2775,UA/ ORD,1995
UA,ORD,arr,1970-01-01T11:31:00Z,-2796,UA/ ORD,1995
UA,ORD,arr,1970-01-01T11:41:00Z,-2000,UA/ ORD,1995
UA,ORD,arr,1970-01-01T11:51:00Z,-1276,UA/ ORD,1995
UA,ORD,arr,1970-01-01T12:01:00Z,-1022,UA/ ORD,1995
UA,ORD,arr,1970-01-01T12:11:00Z,-773,UA/ ORD,1995
UA,ORD,arr,1970-01-01T12:21:00Z,-870,UA/ ORD,1995
UA,ORD,arr,1970-01-01T12:31:00Z,-1646,UA/ ORD,1995
UA,ORD,arr,1970-01-01T12:41:00Z,-2804,UA/ ORD,1995
UA,ORD,arr,1970-01-01T12:51:00Z,-2803,UA/ ORD,1995
UA,ORD,arr,1970-01-01T13:01:00Z,-1668,UA/ ORD,1995
UA,ORD,arr,1970-01-01T13:11:00Z,-1002,UA/ ORD,1995
UA,ORD,arr,1970-01-01T13:21:00Z,-778,UA/ ORD,1995
UA,ORD,arr,1970-01-01T13:31:00Z,-749,UA/ ORD,1995
UA,ORD,arr,1970-01-01T13:41:00Z,-929,UA/ ORD,1995
UA,ORD,arr,1970-01-01T13:51:00Z,-1071,UA/ ORD,1995
UA,ORD,arr,1970-01-01T14:01:00Z,-1236,UA/ ORD,1995
UA,ORD,arr,1970-01-01T14:11:00Z,-1807,UA/ ORD,1995
UA,ORD,arr,1970-01-01T14:21:00Z,-2532,UA/ ORD,1995
UA,ORD,arr,1970-01-01T14:31:00Z,-2405,UA/ ORD,1995
UA,ORD,arr,1970-01-01T14:41:00Z,-1551,UA/ ORD,1995
UA,ORD,arr,1970-01-01T14:51:00Z,-922,UA/ ORD,1995
UA,ORD,arr,1970-01-01T15:01:00Z,-819,UA/ ORD,1995
UA,ORD,arr,1970-01-01T15:11:00Z,-775,UA/ ORD,1995
UA,ORD,arr,1970-01-01T15:21:00Z,-958,UA/ ORD,1995
UA,ORD,arr,1970-01-01T15:31:00Z,-1435,UA/ ORD,1995
