reporting_airline,id,type,airport,x,y
Southwest Airlines,163,origin,BUR,-1679613.0736233827,-1016244.4677102008
Southwest Airlines,163,dest,SFO,-1945640.7538789264,-556902.5127197708
Southwest Airlines,164,origin,BUR,-1679613.0736233827,-1016244.4677102008
Southwest Airlines,164,dest,SJC,-1914820.4720456952,-595055.2286396603
Southwest Airlines,165,origin,BUR,-1679613.0736233827,-1016244.4677102008
Southwest Airlines,165,dest,SLC,-1004609.4621734885,-395049.06406783813
Southwest Airlines,166,origin,BUR,-1679613.0736233827,-1016244.4677102008
Southwest Airlines,166,dest,SMF,-1850472.0747063856,-458086.04301328777
Southwest Airlines,167,origin,BWI,1980887.5167152977,-365563.636502196
Southwest Airlines,167,dest,ABQ,-603104.745800889,-1082686.4778323667
Southwest Airlines,168,origin,BWI,1980887.5167152977,-365563.636502196
Southwest Airlines,168,dest,ALB,2093896.6988834653,90839.80353075745
Southwest Airlines,169,origin,BWI,1980887.5167152977,-365563.636502196
Southwest Airlines,169,dest,ATL,1438837.9937618312,-1129310.979486318
Southwest Airlines,170,origin,BWI,1980887.5167152977,-365563.636502196
Southwest Airlines,170,dest,AUS,225823.07315140465,-1638702.7618488022
Southwest Airlines,171,origin,BWI,1980887.5167152977,-365563.636502196
Southwest Airlines,171,dest,BDL,2208123.028463688,33971.4893617478
Southwest Airlines,172,origin,BWI,1980887.5167152977,-365563.636502196
Southwest Airlines,172,dest,BHM,1227516.423781454,-1173804.5684248093
Southwest Airlines,173,origin,BWI,1980887.5167152977,-365563.636502196
Southwest Airlines,173,dest,BNA,1193955.4135102862,-891176.9680870201
Southwest Airlines,174,origin,BWI,1980887.5167152977,-365563.636502196
Southwest Airlines,174,dest,BOS,2320658.4485041024,126152.13380139158
Southwest Airlines,175,origin,BWI,1980887.5167152977,-365563.636502196
Southwest Airlines,175,dest,BUF,1707245.286740146,-4371.266382491431
Southwest Airlines,176,origin,BWI,1980887.5167152977,-365563.636502196
Southwest Airlines,176,dest,CHS,1853007.6958618572,-1124845.6869020823
Southwest Airlines,177,origin,BWI,1980887.5167152977,-365563.636502196
Southwest Airlines,177,dest,CLE,1498726.2792607923,-232627.15593650908
Southwest Airlines,178,origin,BWI,1980887.5167152977,-365563.636502196
Southwest Airlines,178,dest,CLT,1718765.594159813,-891788.5105128315
Southwest Airlines,179,origin,BWI,1980887.5167152977,-365563.636502196
Southwest Airlines,179,dest,CMH,1445821.7184349983,-405735.9494879742
Southwest Airlines,180,origin,BWI,1980887.5167152977,-365563.636502196
Southwest Airlines,180,dest,CVG,1316490.950820449,-539409.9479712159
Southwest Airlines,181,origin,BWI,1980887.5167152977,-365563.636502196
