year,airline,airport,type,block,n,airline_airport
1,AA,DFW,arr,1970-01-01T21:51:00Z,-508,AA/ DFW
1,AA,DFW,arr,1970-01-01T22:01:00Z,-484,AA/ DFW
1,AA,DFW,arr,1970-01-01T22:11:00Z,-628,AA/ DFW
1,AA,DFW,arr,1970-01-01T22:21:00Z,-620,AA/ DFW
1,AA,DFW,arr,1970-01-01T22:31:00Z,-466,AA/ DFW
1,AA,DFW,arr,1970-01-01T22:41:00Z,-396,AA/ DFW
1,AA,DFW,arr,1970-01-01T22:51:00Z,-282,AA/ DFW
1,AA,DFW,arr,1970-01-01T23:01:00Z,-223,AA/ DFW
1,AA,DFW,arr,1970-01-01T23:11:00Z,-131,AA/ DFW
1,AA,DFW,arr,1970-01-01T23:21:00Z,-99,AA/ DFW
1,AA,DFW,arr,1970-01-01T23:31:00Z,-72,AA/ DFW
1,AA,DFW,arr,1970-01-01T23:41:00Z,-61,AA/ DFW
1,AA,DFW,arr,1970-01-01T23:51:00Z,-114,AA/ DFW
1,AA,DFW,dep,1970-01-01T00:01:00Z,28,AA/ DFW
1,AA,DFW,dep,1970-01-01T00:11:00Z,20,AA/ DFW
1,AA,DFW,dep,1970-01-01T00:21:00Z,24,AA/ DFW
1,AA,DFW,dep,1970-01-01T00:31:00Z,24,AA/ DFW
1,AA,DFW,dep,1970-01-01T00:41:00Z,15,AA/ DFW
1,AA,DFW,dep,1970-01-01T00:51:00Z,14,AA/ DFW
1,AA,DFW,dep,1970-01-01T01:01:00Z,14,AA/ DFW
1,AA,DFW,dep,1970-01-01T01:11:00Z,15,AA/ DFW
1,AA,DFW,dep,1970-01-01T01:21:00Z,10,AA/ DFW
1,AA,DFW,dep,1970-01-01T01:31:00Z,7,AA/ DFW
1,AA,DFW,dep,1970-01-01T01:41:00Z,9,AA/ DFW
1,AA,DFW,dep,1970-01-01T01:51:00Z,5,AA/ DFW
1,AA,DFW,dep,1970-01-01T02:01:00Z,3,AA/ DFW
1,AA,DFW,dep,1970-01-01T02:11:00Z,4,AA/ DFW
1,AA,DFW,dep,1970-01-01T02:31:00Z,5,AA/ DFW
1,AA,DFW,dep,1970-01-01T02:41:00Z,1,AA/ DFW
1,AA,DFW,dep,1970-01-01T02:51:00Z,3,AA/ DFW
1,AA,DFW,dep,1970-01-01T03:11:00Z,1,AA/ DFW
1,AA,DFW,dep,1970-01-01T03:31:00Z,1,AA/ DFW
1,AA,DFW,dep,1970-01-01T03:41:00Z,1,AA/ DFW
1,AA,DFW,dep,1970-01-01T04:51:00Z,1,AA/ DFW
1,AA,DFW,dep,1970-01-01T05:11:00Z,1,AA/ DFW
1,AA,DFW,dep,1970-01-01T05:41:00Z,1,AA/ DFW
1,AA,DFW,dep,1970-01-01T05:51:00Z,204,AA/ DFW
1,AA,DFW,dep,1970-01-01T06:01:00Z,85,AA/ DFW
1,AA,DFW,dep,1970-01-01T06:11:00Z,111,AA/ DFW
1,AA,DFW,dep,1970-01-01T06:21:00Z,459,AA/ DFW
1,AA,DFW,dep,1970-01-01T06:31:00Z,1079,AA/ DFW
1,AA,DFW,dep,1970-01-01T06:41:00Z,1286,AA/ DFW
1,AA,DFW,dep,1970-01-01T06:51:00Z,3623,AA/ DFW
1,AA,DFW,dep,1970-01-01T07:01:00Z,1577,AA/ DFW
1,AA,DFW,dep,1970-01-01T07:11:00Z,308,AA/ DFW
1,AA,DFW,dep,1970-01-01T07:21:00Z,333,AA/ DFW
1,AA,DFW,dep,1970-01-01T07:31:00Z,136,AA/ DFW
1,AA,DFW,dep,1970-01-01T07:41:00Z,153,AA/ DFW
1,AA,DFW,dep,1970-01-01T07:51:00Z,936,AA/ DFW
