"airline","airport","arr","dep","yearly_passengers","hub_type"
"DL","MCO",0.79535122310827,1.1413422954572,19022844,"Large"
"DL","MDT",2.33128242871894,2.4999558883049,576917,"Small"
"DL","MDW",1.7083750287071,2.18127347907358,10820348,"Large"
"DL","MEM",1.30359139782485,1.70389533825798,2122447,"Medium"
"DL","MHT",2.7202080549414,3.11466855600619,971670,"Small"
"DL","MIA",1.00655059905522,1.34111362562971,10371722,"Large"
"DL","MKE",1.48267276461677,1.68563547706141,3417379,"Medium"
"DL","MLB",2.17631174216309,2.62024855115852,219086,"Nonhub"
"DL","MOB",2.60913269152244,3.00438803656667,291486,"Nonhub"
"DL","MSN",1.86454698287631,2.30720457380192,944899,"Small"
"DL","MSO",2.47009956609719,2.54485050567589,384941,"Small"
"DL","MSP",1.2669352903566,1.58427591179566,17046950,"Large"
"DL","MSY",1.10274408239916,1.37018806084585,6031426,"Medium"
"DL","MTJ",2.76586343545004,2.91651027338747,122094,"Nonhub"
"DL","MYR",2.49439788025591,2.3596011510015,1144900,"Small"
"DL","OAJ",3.05028250858242,2.808236697525,158848,"Nonhub"
"DL","OAK",2.12501484685317,2.58581785768556,6199519,"Medium"
"DL","OGG",1.56204264858864,2.30343961412354,3264579,"Medium"
"DL","OKC",1.8717676321224,2.31130362981034,1956400,"Medium"
"DL","OMA",1.82797166174849,2.06957236162771,2295573,"Medium"
"DL","ONT",2.95306079843025,3.16791880640624,2232571,"Medium"
"DL","ORD",0.974402341681373,1.10996041712436,32397952,"Large"
"DL","ORF",1.68847669990288,1.98362410000057,1715525,"Small"
"DL","PBI",1.08525744543707,1.11604743395049,3038458,"Medium"
"DL","PDX",1.45082553500301,1.61141472401243,9091341,"Large"
"DL","PHF",2.98649585441503,3.06723301676325,198516,"Nonhub"
"DL","PHL",1.08080301778768,1.64024972091826,12609106,"Large"
"DL","PHX",1.05278231872797,1.17710566555111,20580907,"Large"
"DL","PIT",1.50981538749323,1.87156505045426,4245874,"Medium"
"DL","PNS",1.77420968814759,2.23470638135479,850198,"Small"
"DL","PSC",2.80442665352496,2.96177297252653,371762,"Nonhub"
"DL","PSP",2.42533624177418,2.6517607247951,869822,"Small"
"DL","PVD",2.30164586171229,2.53107148179783,1883749,"Medium"
"DL","PWM",2.61465676873582,2.48286566219873,924703,"Small"
"DL","RAP",2.564414021144,2.82359639508236,292303,"Nonhub"
"DL","RDU",1.25073971208042,1.54347165742354,5556987,"Medium"
"DL","RIC",1.65549922699991,1.86571222913357,1819633,"Small"
"DL","RNO",2.58654764304456,2.71428807898391,1944629,"Medium"
"DL","ROA",2.64904176961567,2.84792099688309,308617,"Nonhub"
"DL","ROC",2.40203969323306,2.31581023645415,1200895,"Small"
"DL","RSW",1.1472270352462,1.34335593098521,4170956,"Medium"
"DL","SAN",1.26170548086099,1.71163622307003,10783376,"Large"
"DL","SAT",1.39818600627127,1.97275564897124,4315831,"Medium"
"DL","SAV",1.41863596455679,1.43577574498377,1196245,"Small"
"DL","SBN",2.22595674773567,2.65563983474753,305829,"Nonhub"
"DL","SDF",1.64342307570454,1.70147116969388,1714412,"Small"
"DL","SEA",1.1026109994131,1.196224822322,20273105,"Large"
"DL","SFO",0.914262325466474,1.27782557234193,20565622,"Large"
"DL","SGF",2.20833476684953,2.7788706936311,483054,"Small"
"DL","SHV",2.87074246086984,3.02684625762664,269780,"Nonhub"
"DL","SJC",1.88535043440592,2.29340182749649,5841651,"Medium"
"DL","SJU",1.92097667970335,2.16932815766316,3484584,"Medium"
"DL","SLC",1.73952154398729,1.90220405190633,11192766,"Large"
"DL","SMF",1.84284728329889,2.21093947300122,5343834,"Medium"
"DL","SNA",1.86517580251528,2.43179640710022,5029430,"Medium"
